Time,Number of drops per frame
2025-10-17T21:49:44.209392,1
2025-10-17T21:49:44.236599,1
2025-10-17T21:49:44.273369,1
2025-10-17T21:49:44.639755,1
2025-10-17T21:49:44.843098,1
2025-10-17T21:49:44.875366,2
2025-10-17T21:49:44.904296,3
2025-10-17T21:49:44.934981,7
2025-10-17T21:49:44.970771,7
2025-10-17T21:49:45.002803,5
2025-10-17T21:49:45.039809,7
2025-10-17T21:49:45.076078,6
2025-10-17T21:49:45.103644,3
2025-10-17T21:49:45.139958,4
2025-10-17T21:49:45.178364,2
2025-10-17T21:49:45.204514,1
2025-10-17T21:49:45.241361,1
2025-10-17T21:49:45.267557,1
2025-10-17T21:49:45.305717,1
2025-10-17T21:49:45.339926,2
2025-10-17T21:49:45.368926,3
2025-10-17T21:49:45.402460,2
2025-10-17T21:49:45.442789,3
2025-10-17T21:49:45.473723,1
2025-10-17T21:49:45.503201,2
2025-10-17T21:49:45.540349,4
2025-10-17T21:49:45.570095,2
2025-10-17T21:49:45.603389,2
2025-10-17T21:49:45.639198,2
2025-10-17T21:49:45.671853,2
2025-10-17T21:49:45.705773,4
2025-10-17T21:49:45.741208,4
2025-10-17T21:49:45.767515,2
2025-10-17T21:49:45.807689,3
2025-10-17T21:49:45.842190,4
2025-10-17T21:49:45.872838,3
2025-10-17T21:49:45.909174,3
2025-10-17T21:49:45.942361,2
2025-10-17T21:49:45.968103,3
2025-10-17T21:49:46.010268,4
2025-10-17T21:49:46.037730,4
2025-10-17T21:49:46.072188,5
2025-10-17T21:49:46.111178,4
2025-10-17T21:49:46.140924,5
2025-10-17T21:49:46.168654,4
2025-10-17T21:49:46.203038,6
2025-10-17T21:49:46.243203,8
2025-10-17T21:49:46.274589,9
2025-10-17T21:49:46.310687,7
2025-10-17T21:49:46.337904,6
2025-10-17T21:49:46.371991,8
2025-10-17T21:49:46.402648,7
2025-10-17T21:49:46.437617,7
2025-10-17T21:49:46.469737,5
2025-10-17T21:49:46.505352,6
2025-10-17T21:49:46.537131,8
2025-10-17T21:49:46.571721,7
2025-10-17T21:49:46.601171,3
2025-10-17T21:49:46.637987,3
2025-10-17T21:49:46.672276,5
2025-10-17T21:49:46.702298,5
2025-10-17T21:49:46.739583,5
2025-10-17T21:49:46.772004,7
2025-10-17T21:49:46.800970,3
2025-10-17T21:49:46.837994,2
2025-10-17T21:49:46.870524,3
2025-10-17T21:49:46.904317,3
2025-10-17T21:49:46.937889,2
2025-10-17T21:49:46.974273,2
2025-10-17T21:49:47.001784,1
2025-10-17T21:49:47.036110,1
2025-10-17T21:49:47.071878,2
2025-10-17T21:49:47.098324,2
2025-10-17T21:49:47.139271,1
2025-10-17T21:49:47.173872,1
2025-10-17T21:49:47.203536,1
2025-10-17T21:49:47.239689,1
2025-10-17T21:49:47.272776,1
2025-10-17T21:49:48.865944,1
2025-10-17T21:49:48.899979,1
2025-10-17T21:49:48.937418,2
2025-10-17T21:49:48.968256,2
2025-10-17T21:49:48.998650,3
2025-10-17T21:49:49.032815,5
2025-10-17T21:49:49.066781,6
2025-10-17T21:49:49.102379,5
2025-10-17T21:49:49.137518,4
2025-10-17T21:49:49.162619,4
2025-10-17T21:49:49.199103,3
2025-10-17T21:49:49.235738,5
2025-10-17T21:49:49.268430,6
2025-10-17T21:49:49.298629,6
2025-10-17T21:49:49.336015,5
2025-10-17T21:49:49.362650,3
2025-10-17T21:49:49.406790,4
2025-10-17T21:49:49.433654,6
2025-10-17T21:49:49.462982,5
2025-10-17T21:49:49.501838,4
2025-10-17T21:49:49.534707,3
2025-10-17T21:49:49.569066,5
2025-10-17T21:49:49.599664,5
2025-10-17T21:49:49.635441,5
2025-10-17T21:49:49.666344,6
2025-10-17T21:49:49.697247,7
2025-10-17T21:49:49.736321,8
2025-10-17T21:49:49.765022,9
2025-10-17T21:49:49.799255,9
2025-10-17T21:49:49.831264,10
2025-10-17T21:49:49.871729,8
2025-10-17T21:49:49.897423,8
2025-10-17T21:49:49.933497,8
2025-10-17T21:49:49.965486,9
2025-10-17T21:49:50.001587,9
2025-10-17T21:49:50.034472,8
2025-10-17T21:49:50.065000,8
2025-10-17T21:49:50.103194,11
2025-10-17T21:49:50.131189,11
2025-10-17T21:49:50.167643,11
2025-10-17T21:49:50.198961,8
2025-10-17T21:49:50.238560,12
2025-10-17T21:49:50.266045,11
2025-10-17T21:49:50.300362,12
2025-10-17T21:49:50.336565,11
2025-10-17T21:49:50.369287,9
2025-10-17T21:49:50.397053,9
2025-10-17T21:49:50.438732,6
2025-10-17T21:49:50.466198,6
2025-10-17T21:49:50.497216,5
2025-10-17T21:49:50.530676,6
