Time,Number of drops per frame,Face in frame
2025-10-25T08:00:36.896245,1,no
2025-10-25T08:00:36.951875,1,no
2025-10-25T08:00:37.018319,2,no
2025-10-25T08:00:37.096456,1,no
2025-10-25T08:00:37.151991,1,no
2025-10-25T08:00:37.213330,1,Yes
2025-10-25T08:00:37.686018,3,no
2025-10-25T08:00:37.772676,6,Yes
2025-10-25T08:00:37.834057,2,Yes
2025-10-25T08:00:38.122023,1,Yes
2025-10-25T08:00:38.233017,1,Yes
2025-10-25T08:00:38.751141,4,Yes
2025-10-25T08:00:38.828200,3,Yes
2025-10-25T08:00:38.884931,2,Yes
2025-10-25T08:00:38.955129,1,Yes
2025-10-25T08:00:39.018594,1,Yes
2025-10-25T08:00:39.088157,1,no
2025-10-25T08:00:39.153390,1,no
2025-10-25T08:00:39.424573,1,no
2025-10-25T08:00:39.486450,1,no
2025-10-25T08:00:39.549715,3,no
2025-10-25T08:00:39.615488,5,Yes
2025-10-25T08:00:39.696485,5,no
2025-10-25T08:00:39.756412,5,no
2025-10-25T08:00:39.825660,8,no
2025-10-25T08:00:39.893462,2,Yes
2025-10-25T08:00:39.965860,5,no
2025-10-25T08:00:40.046292,7,Yes
2025-10-25T08:00:40.126557,6,no
2025-10-25T08:00:40.215806,7,no
2025-10-25T08:00:40.321809,8,Yes
2025-10-25T08:00:40.399384,6,Yes
2025-10-25T08:00:40.494721,9,Yes
2025-10-25T08:00:40.612306,4,Yes
2025-10-25T08:00:40.736625,5,Yes
2025-10-25T08:00:40.852157,2,Yes
2025-10-25T08:00:40.999013,5,Yes
2025-10-25T08:00:41.111788,2,Yes
2025-10-25T08:00:41.240613,1,Yes
2025-10-25T08:00:41.314000,6,Yes
2025-10-25T08:00:41.411612,9,Yes
2025-10-25T08:00:41.510428,3,Yes
2025-10-25T08:00:41.604363,9,Yes
2025-10-25T08:00:41.711935,3,Yes
2025-10-25T08:00:41.805189,4,Yes
2025-10-25T08:00:41.878719,9,no
2025-10-25T08:00:41.947964,8,no
2025-10-25T08:00:42.036311,13,no
2025-10-25T08:00:42.138366,12,no
2025-10-25T08:00:42.242716,1,no
2025-10-25T08:00:42.333107,2,no
2025-10-25T08:00:42.397031,6,no
2025-10-25T08:00:42.476150,3,no
2025-10-25T08:00:42.578828,3,no
2025-10-25T08:00:42.643137,3,no
2025-10-25T08:00:42.704506,8,no
2025-10-25T08:00:42.771186,6,no
2025-10-25T08:00:42.858050,4,no
2025-10-25T08:00:42.904493,9,no
2025-10-25T08:00:42.950056,9,no
2025-10-25T08:00:43.021706,9,no
2025-10-25T08:00:43.097357,1,no
2025-10-25T08:00:43.170678,4,no
2025-10-25T08:00:43.241030,2,no
2025-10-25T08:00:43.311177,1,Yes
2025-10-25T08:00:43.381015,1,no
2025-10-25T08:00:43.441231,1,no
2025-10-25T08:00:43.510843,1,no
2025-10-25T08:00:43.574172,1,no
2025-10-25T08:00:43.645036,3,no
2025-10-25T08:00:43.750249,3,no
2025-10-25T08:00:43.816995,4,no
2025-10-25T08:00:43.903028,4,no
2025-10-25T08:00:43.992160,2,no
2025-10-25T08:00:44.070339,2,no
2025-10-25T08:00:44.162079,2,no
2025-10-25T08:00:44.246800,1,no
