Time,Number of drops per frame,rain on ground
2025-11-05T08:46:28.023170,0.1,rain
2025-11-05T09:36:03.422734,0.1,rain
2025-11-05T09:37:47.662568,0.1,rain
2025-11-05T09:42:48.588649,0.1,rain
2025-11-05T09:43:01.701569,0.1,rain
2025-11-05T09:43:15.029934,0.1,rain
2025-11-05T09:43:28.220180,0.2,rain
2025-11-05T09:45:26.854287,0.2,rain
2025-11-05T09:45:53.297181,0.1,rain
2025-11-05T09:46:06.788131,0.1,rain
2025-11-05T09:47:26.822622,0.1,rain
2025-11-05T09:47:39.879918,0.2,rain
2025-11-05T09:47:52.985505,0.1,rain
2025-11-05T09:48:32.497666,0.1,rain
2025-11-05T09:48:45.857406,0.1,rain
2025-11-05T09:48:59.245693,0.1,rain
2025-11-05T09:49:25.892695,0.1,rain
2025-11-05T09:55:52.907390,0.1,rain
2025-11-05T09:56:06.125029,0.1,rain
2025-11-05T09:56:19.889737,0.4,rain
2025-11-05T09:57:40.006549,0.2,rain
2025-11-05T10:00:47.973224,0.1,rain
2025-11-05T10:02:06.616197,0.1,rain
2025-11-05T10:02:20.653506,0.3,rain
2025-11-05T10:02:34.746627,0.3,rain
2025-11-05T10:02:48.849451,0.1,rain
2025-11-05T10:03:03.261624,0.1,rain
2025-11-05T10:03:17.460182,0.1,rain
2025-11-05T10:03:31.516021,0.3,rain
2025-11-05T10:03:45.504701,0.2,rain
2025-11-05T10:05:48.803478,0.1,rain
2025-11-05T10:06:02.687348,0.2,rain
2025-11-05T10:06:16.340838,0.1,rain
2025-11-05T10:06:30.168222,0.1,rain
2025-11-05T10:06:44.011915,0.2,rain
2025-11-05T10:06:57.759379,0.1,rain
2025-11-05T10:07:11.794778,0.2,rain
2025-11-05T10:07:25.552780,0.3,rain
2025-11-05T10:07:39.389325,0.1,rain
2025-11-05T10:07:53.059391,0.3,rain
2025-11-05T10:08:06.726654,0.3,rain
2025-11-05T10:08:20.339000,0.1,rain
2025-11-05T10:13:13.588136,0.1,rain
2025-11-05T10:13:26.975953,0.1,rain
2025-11-05T10:13:53.628373,0.1,rain
2025-11-05T10:14:07.299372,0.1,rain
2025-11-05T12:08:21.082248,0.1,rain
2025-11-05T13:01:35.973091,0.1,rain
2025-11-05T15:41:04.552851,0.1,rain
2025-11-05T16:51:43.535823,0.1,rain
2025-11-05T17:05:28.001085,0.2,rain
2025-11-05T17:05:42.433406,1.3,rain
2025-11-05T17:05:56.315243,0.5,rain
2025-11-05T17:06:09.469079,0.6,rain
2025-11-05T17:06:22.553269,0.4,rain
2025-11-05T17:06:35.877649,0.3,rain
2025-11-05T17:29:54.829672,0.1,rain
2025-11-05T17:30:08.037371,0.3,rain
2025-11-05T17:30:21.338606,0.7,rain
2025-11-05T17:30:34.626965,0.3,rain
2025-11-05T17:30:47.999342,0.2,rain
2025-11-05T17:31:01.413315,0.1,rain
2025-11-05T17:33:17.712180,0.1,rain
2025-11-05T17:38:39.376318,0.19,rain
2025-11-05T17:39:01.437327,0.03,rain
2025-11-05T17:39:14.940150,0.16,rain
2025-11-05T17:40:25.781802,0.07,rain
2025-11-05T19:23:23.754901,0.01,rain
2025-11-05T19:23:39.301332,0.01,rain
2025-11-05T19:23:54.711899,0.01,rain
2025-11-05T19:24:11.701425,0.01,rain
2025-11-05T19:24:27.333351,0.01,rain
2025-11-05T19:24:42.808694,0.01,rain
2025-11-05T19:24:58.253903,0.01,rain
2025-11-05T19:25:15.041268,0.01,rain
2025-11-05T19:25:30.600061,0.01,rain
2025-11-05T19:25:47.477577,0.01,rain
2025-11-05T19:26:03.656197,0.01,rain
2025-11-05T19:26:20.789180,0.01,rain
2025-11-05T19:26:37.975199,0.01,rain
2025-11-05T19:26:55.023722,0.01,rain
2025-11-05T19:27:12.644998,0.01,rain
2025-11-05T19:27:28.947495,0.01,rain
2025-11-05T19:27:44.520580,0.01,rain
2025-11-05T19:28:00.083320,0.01,rain
2025-11-05T19:28:16.970406,0.01,rain
2025-11-05T19:28:32.708046,0.01,rain
2025-11-05T19:28:48.468163,0.01,rain
2025-11-05T19:29:04.834612,0.01,rain
2025-11-05T19:29:21.164887,0.01,rain
2025-11-05T19:29:36.833131,0.01,rain
2025-11-05T19:29:52.538113,0.01,rain
2025-11-05T19:30:09.385110,0.01,rain
